x,y,score,orientation,width,height,template_id,band_id,cpin
6613,5433,0.9999943375587463,V,30,40,0,-1,
5849,4227,0.9999932646751404,H,40,30,0,-1,
5935,5382,0.9999921917915344,H,40,30,3,-1,
3280,5464,0.999991238117218,V,30,40,5,-1,
5585,5590,0.9999908804893494,V,30,40,3,-1,
7595,4684,0.9999901652336121,V,30,40,1,-1,
2153,6837,0.9999899864196777,H,40,30,7,-1,BA7_1
4818,6637,0.9999895095825195,V,30,40,4,-1,
6179,5425,0.9999889731407166,H,40,30,1,-1,
3701,5597,0.9999876618385315,H,40,30,8,-1,
7859,4634,0.9999876022338867,H,40,30,6,-1,
5666,6302,0.9999864101409912,H,40,30,4,-1,
3962,6351,0.9999858140945435,V,30,40,9,-1,
7645,6558,0.9999832510948181,H,40,30,5,-1,
3536,5418,0.9999831318855286,V,30,40,6,-1,
8280,7018,0.999975860118866,V,30,40,7,-1,
8619,5022,0.9999753832817078,V,30,40,8,-1,
7980,3387,0.9496281147003174,V,30,40,3,-1,
5842,5547,0.9460617899894714,V,30,40,3,-1,
7945,5724,0.9450953602790833,H,40,30,5,-1,
8618,6311,0.94495689868927,V,30,40,0,-1,
3790,6509,0.9396288394927979,V,30,40,3,-1,
7594,6639,0.9378727078437805,V,30,40,3,-1,
4097,2771,0.9372925162315369,H,40,30,0,-1,
3747,4305,0.9358636736869812,V,30,40,3,-1,
3876,4305,0.9354634284973145,V,30,40,3,-1,
7474,5767,0.9350305199623108,H,40,30,5,-1,
4861,5632,0.9346021413803101,V,30,40,3,-1,
6107,5681,0.9344756603240967,H,40,30,5,-1,
6363,2814,0.93437260389328,H,40,30,0,-1,
7773,2815,0.9341121912002563,H,40,30,0,-1,
5245,5632,0.9333943128585815,V,30,40,3,-1,
7937,4221,0.9332587718963623,V,30,40,3,-1,
8280,3473,0.9329028129577637,V,30,40,3,-1,
4525,5018,0.9325481057167053,H,40,30,0,-1,
7034,6174,0.9325083494186401,H,40,30,1,-1,
6955,3215,0.9321940541267395,V,30,40,3,-1,
6699,4306,0.9321256279945374,V,30,40,3,-1,
4655,4310,0.9313839673995972,H,40,30,5,-1,
7546,7009,0.9311840534210205,H,40,30,1,-1,
8023,5012,0.931150496006012,V,30,40,3,-1,
4855,6087,0.9311076402664185,H,40,30,1,-1,
5928,5690,0.9311043620109558,V,30,40,0,-1,
3701,5555,0.9310076236724854,H,40,30,8,-1,
4355,6557,0.9308384656906128,H,40,30,5,-1,
5880,4634,0.930120050907135,H,40,30,4,-1,
6919,5768,0.9300690293312073,H,40,30,0,-1,
8109,4221,0.9287149906158447,V,30,40,3,-1,
4011,2857,0.9282475709915161,H,40,30,0,-1,
5203,4305,0.9281333684921265,V,30,40,3,-1,
